book_id,rating
5221,4
3952,4
5718,5
1173,4
6025,4
6536,5
7278,1
7414,4
6633,5
2826,3
2753,5
6362,1
4299,1
5838,4
8209,5
4852,1
5543,5
5884,5
930,3
8228,2
2344,4
3807,2
7458,4
7420,3
8975,5
6927,4
1725,1
4238,4
2402,1
5637,3
1320,5
6189,1
9146,4
4928,3
4838,4
6615,2
6668,3
9332,3
5662,2
3334,4
355,1
9319,1
2866,2
3482,5
3664,1
8323,2
2826,5
6232,5
1678,3
4157,3
9250,2
8991,1
8138,2
5760,5
5441,3
5345,3
4260,4
8581,4
2906,3
616,4
1430,4
3734,2
6641,2
9354,5
6077,2
1640,1
2241,3
8414,5
6403,2
5248,1
7506,1
9362,1
3252,1
1735,1
2614,1
1978,5
2029,2
9176,4
5144,1
4072,1
1816,2
4156,2
5384,5
4103,1
9194,3
7096,5
3239,5
5586,3
5774,3
651,2
4275,4
2915,2
2356,4
267,3
5114,4
1481,1
4449,3
9413,2
2868,1
3898,4
1813,5
1630,2
6397,5
3513,5
6080,1
4602,1
7473,3
1443,5
4157,3
6844,2
7297,2
7356,3
6836,5
8586,5
8795,1
4723,1
1851,1
1309,5
7145,2
4417,3
8459,3
7283,4
6229,5
6595,2
3092,3
6253,2
2190,3
7290,1
1302,4
4817,2
3287,3
1031,5
4055,3
1628,1
7183,5
7677,2
3041,3
8124,3
4224,2
4088,4
3763,2
2668,1
1403,2
7162,4
2202,2
2484,5
2804,5
1233,1
6189,2
1620,3
8669,3
47,4
5405,3
5804,2
4419,4
1926,1
6450,3
5163,2
5277,5
756,5
3695,3
7314,5
7216,2
2718,4
8506,1
8443,3
6724,1
3177,5
113,5
582,2
7541,1
5152,2
5412,3
7282,4
5223,1
1486,3
619,5
5211,1
5223,4
4578,2
6623,4
5863,2
407,2
2284,3
3120,1
2889,3
1372,3
353,5
1547,1
4814,5
2375,3
754,3
5623,4
8233,4
7747,5
4557,3
1345,3
9252,3
7533,3
6140,2
9103,5
7678,3
582,4
8931,3
4519,1
3604,4
2221,5
7518,4
6798,4
2535,2
1976,4
3664,5
4008,2
6043,2
91,5
6680,2
331,4
4617,4
8179,1
7119,4
7087,5
7340,1
6147,2
354,1
2929,2
4066,1
9288,2
7805,1
4776,4
2304,4
320,1
8544,3
6995,1
3399,2
8580,2
2456,3
8689,3
213,3
7749,1
1449,5
5473,1
7437,3
8218,2
367,4
2426,1
7941,5
6772,4
8226,4
4992,2
8872,3
1842,2
2627,5
8715,2
3823,4
6373,1
1288,1
1347,3
7066,5
3101,4
4780,3
8490,2
9082,1
2152,5
1708,1
8209,3
3661,5
1216,3
1283,4
9392,1
8524,5
6914,4
5800,2
6219,4
5085,5
2166,4
5557,3
5962,3
8928,5
7155,2
9018,5
4143,2
9384,1
2044,4
4410,4
1781,4
2390,4
3526,2
8659,2
7286,5
6984,4
5865,1
5451,3
1508,1
50,5
7657,3
3533,1
9330,4
1195,1
8010,3
4651,4
7742,4
3853,4
7912,3
1639,5
7668,4
6860,4
3475,1
320,1
3884,5
4848,2
6547,5
4724,4
6615,2
6006,2
2450,1
5665,1
3494,5
252,2
7886,5
163,4
6122,1
3250,2
6523,3
4900,3
1587,1
5712,4
5100,4
1932,4
4375,1
1201,2
2404,1
743,1
8135,3
6836,2
7512,5
6780,1
4398,4
2966,1
7112,1
2607,1
3538,2
5121,4
9303,1
6145,3
3267,5
47,1
7489,1
1901,2
6158,4
2369,5
1617,3
6371,5
6496,3
2246,1
7848,5
7217,3
7983,5
3931,2
2442,4
475,4
8685,3
9047,2
5003,5
4260,1
2157,4
3685,2
5480,5
3239,2
8657,4
7606,1
187,4
7043,5
1572,4
3131,5
4128,2
3845,2
8834,5
7094,1
3289,1
8574,2
4058,4
2902,5
149,4
310,5
2992,3
109,3
4921,4
708,2
3764,2
